epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,5801.59,0.87492,0.79153,1.39025,0.89628,0.83742,0.90073,0.72254,0.88197,0.74282,1.52528,0.000594125,0.000594125,0.000594125
55,5898.87,0.8665,0.77723,1.38415,0.87537,0.85212,0.90538,0.72758,0.86847,0.73927,1.51804,0.00058175,0.00058175,0.00058175
56,6005.08,0.84647,0.76113,1.36276,0.88959,0.8309,0.90558,0.73035,0.85418,0.717,1.4917,0.000569375,0.000569375,0.000569375
57,6097.7,0.84616,0.75876,1.35947,0.8945,0.82623,0.9048,0.73523,0.82055,0.70698,1.45656,0.000557,0.000557,0.000557
58,6218.87,0.87035,0.767,1.36885,0.89144,0.8274,0.89643,0.72296,0.86058,0.72907,1.50393,0.000544625,0.000544625,0.000544625
59,6327.02,0.85525,0.76159,1.36267,0.91141,0.8262,0.901,0.72623,0.88023,0.72286,1.52515,0.00053225,0.00053225,0.00053225
60,6437.93,0.85393,0.75897,1.35839,0.88271,0.85122,0.90425,0.73413,0.82762,0.70929,1.45686,0.000519875,0.000519875,0.000519875
61,6541.69,0.85754,0.76967,1.37593,0.91839,0.82953,0.90391,0.73683,0.83279,0.71961,1.44716,0.0005075,0.0005075,0.0005075
62,6654.07,0.83274,0.73574,1.34349,0.89964,0.83662,0.9003,0.73115,0.84531,0.71955,1.46509,0.000495125,0.000495125,0.000495125
63,6754.78,0.82801,0.74157,1.33564,0.88844,0.83799,0.9049,0.74259,0.80921,0.69998,1.43808,0.00048275,0.00048275,0.00048275
64,6847.56,0.83796,0.73629,1.33971,0.87947,0.83847,0.90424,0.73549,0.82891,0.69864,1.46841,0.000470375,0.000470375,0.000470375
65,6953.42,0.83806,0.746,1.35679,0.87942,0.85166,0.90223,0.73573,0.83819,0.71314,1.47661,0.000458,0.000458,0.000458
66,7066.21,0.83604,0.73155,1.35252,0.90105,0.83858,0.90502,0.74219,0.79979,0.67569,1.4208,0.000445625,0.000445625,0.000445625
67,7181.33,0.82924,0.73946,1.34273,0.91412,0.82125,0.89976,0.7364,0.81414,0.70748,1.43249,0.00043325,0.00043325,0.00043325
68,7264.39,0.81775,0.69321,1.3179,0.90822,0.83315,0.90549,0.7439,0.79901,0.69113,1.43855,0.000420875,0.000420875,0.000420875
69,7368.14,0.82198,0.72563,1.34266,0.89947,0.84004,0.90612,0.73742,0.82756,0.7062,1.46038,0.0004085,0.0004085,0.0004085
70,7465.3,0.81224,0.72556,1.34146,0.87874,0.84721,0.90918,0.74364,0.81001,0.68263,1.43431,0.000396125,0.000396125,0.000396125
71,7566.44,0.79904,0.70094,1.31533,0.90034,0.8507,0.91118,0.74862,0.79628,0.67441,1.42061,0.00038375,0.00038375,0.00038375
72,7668.39,0.78314,0.68218,1.30655,0.90456,0.83159,0.90937,0.75085,0.79081,0.66871,1.42436,0.000371375,0.000371375,0.000371375
73,7754.6,0.79725,0.69787,1.31052,0.90304,0.83323,0.91162,0.7481,0.80325,0.6649,1.43311,0.000359,0.000359,0.000359
74,7841.68,0.78161,0.68005,1.30237,0.90268,0.84534,0.91301,0.75726,0.80501,0.67139,1.43248,0.000346625,0.000346625,0.000346625
75,7930.43,0.78479,0.68582,1.31213,0.87734,0.86122,0.90739,0.75134,0.794,0.67671,1.43406,0.00033425,0.00033425,0.00033425
76,8043.42,0.79442,0.69457,1.30586,0.90055,0.84008,0.90586,0.75269,0.79701,0.68627,1.41929,0.000321875,0.000321875,0.000321875
77,8153.26,0.79699,0.69566,1.3122,0.88378,0.85904,0.91161,0.75084,0.8075,0.67146,1.44135,0.0003095,0.0003095,0.0003095
78,8239.4,0.75861,0.66491,1.28239,0.9039,0.83988,0.91534,0.75483,0.79166,0.66449,1.42416,0.000297125,0.000297125,0.000297125
79,8372.98,0.77373,0.65812,1.29431,0.88268,0.86143,0.91716,0.75856,0.7957,0.65971,1.42408,0.00028475,0.00028475,0.00028475
80,8481.96,0.76396,0.65609,1.28669,0.91649,0.82928,0.90946,0.75009,0.79339,0.66715,1.41994,0.000272375,0.000272375,0.000272375
81,8599.85,0.75404,0.65212,1.27714,0.90926,0.84745,0.91287,0.75412,0.78646,0.65659,1.42317,0.00026,0.00026,0.00026
82,8754.79,0.77473,0.66009,1.30129,0.88711,0.84793,0.9121,0.75849,0.78849,0.66222,1.42012,0.000247625,0.000247625,0.000247625
83,8900.36,0.77177,0.66892,1.28036,0.88126,0.85805,0.91277,0.75733,0.78466,0.65236,1.42477,0.00023525,0.00023525,0.00023525
84,8996.86,0.75162,0.64124,1.27103,0.91097,0.83263,0.91213,0.7568,0.78477,0.65152,1.42702,0.000222875,0.000222875,0.000222875
85,9097.31,0.74271,0.62697,1.26533,0.90626,0.84429,0.91539,0.761,0.78581,0.64673,1.41583,0.0002105,0.0002105,0.0002105
86,9231.79,0.73434,0.63733,1.25535,0.90308,0.84032,0.9145,0.76163,0.77967,0.64948,1.41903,0.000198125,0.000198125,0.000198125
87,9383.99,0.73321,0.62791,1.26148,0.89698,0.84455,0.91871,0.7651,0.7734,0.64182,1.40578,0.00018575,0.00018575,0.00018575
88,9528.22,0.74453,0.62256,1.27147,0.87281,0.86121,0.91608,0.76247,0.76769,0.64343,1.40404,0.000173375,0.000173375,0.000173375
89,9637.76,0.73048,0.62931,1.26299,0.88356,0.86097,0.91719,0.76376,0.78015,0.65005,1.42284,0.000161,0.000161,0.000161
90,9739.74,0.75284,0.63435,1.27775,0.88947,0.85431,0.91483,0.76502,0.7771,0.63829,1.40882,0.000148625,0.000148625,0.000148625
91,9876.11,0.64844,0.54146,1.22038,0.87896,0.84935,0.91263,0.76168,0.7782,0.63623,1.41344,0.00013625,0.00013625,0.00013625
92,9999.22,0.63846,0.52273,1.21017,0.87232,0.875,0.91925,0.76345,0.78046,0.63717,1.4207,0.000123875,0.000123875,0.000123875
93,10101.9,0.63304,0.51101,1.20782,0.87364,0.86859,0.91872,0.76724,0.78032,0.63212,1.426,0.0001115,0.0001115,0.0001115
94,10235.1,0.62891,0.51634,1.2051,0.88402,0.86518,0.91837,0.76711,0.77286,0.63543,1.41441,9.9125e-05,9.9125e-05,9.9125e-05
95,10337.3,0.63338,0.52183,1.21209,0.86984,0.86684,0.91885,0.76865,0.77739,0.63393,1.41653,8.675e-05,8.675e-05,8.675e-05
96,10467.4,0.61898,0.50646,1.19175,0.90436,0.84885,0.91958,0.76813,0.77205,0.63192,1.41533,7.4375e-05,7.4375e-05,7.4375e-05
97,10590.8,0.61402,0.49574,1.1947,0.92271,0.82123,0.9185,0.76734,0.77133,0.62643,1.41851,6.2e-05,6.2e-05,6.2e-05
98,10704.9,0.61438,0.49336,1.19182,0.90126,0.85321,0.92013,0.77281,0.7613,0.62432,1.40246,4.9625e-05,4.9625e-05,4.9625e-05
99,10821.9,0.61488,0.49815,1.19235,0.89357,0.85588,0.92002,0.77212,0.76471,0.6248,1.40615,3.725e-05,3.725e-05,3.725e-05
100,10959.9,0.6095,0.49285,1.17892,0.86179,0.88077,0.919,0.77095,0.76758,0.62461,1.41084,2.4875e-05,2.4875e-05,2.4875e-05
